make,model,make_model,branch,date_of_sale,month,is_late_to_pay,is_late_to_pay_word,payment_expected,payment_actual,payment_ratio,payment_full,payment_full_word
Boxer,BM 150,Boxer BM 150,Nairobi,08/06/2021,June,0,NO,130229,130229,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,26/02/2021,February,0,NO,79576,79576,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,14/01/2021,January,0,NO,76141,76141,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,26/02/2021,February,0,NO,104069,104069,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,14/04/2021,April,0,NO,117395,117395,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,15/02/2021,February,0,NO,79201,79201,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Bungoma,29/01/2021,January,0,NO,94782,94782,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,26/06/2021,June,0,NO,134935,134935,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,15/04/2021,April,0,NO,108642,108642,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,18/05/2021,May,0,NO,110584,110584,100,0,NO
Boxer,BM 150,Boxer BM 150,Bungoma,04/01/2021,January,1,YES,110080,47500,43.15043605,1,YES
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,20/05/2021,May,0,NO,114750,114750,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,12/04/2021,April,0,NO,86524,86524,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,29/03/2021,March,0,NO,111984,111984,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Mombasa,26/03/2021,March,0,NO,102868,102868,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,03/05/2021,May,0,NO,103942,103942,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,12/04/2021,April,0,NO,100517,100517,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Kisumu,25/05/2021,May,0,NO,130340,130340,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,15/02/2021,February,0,NO,74020,74020,100,0,NO
Boxer,BM 100,Boxer BM 100,Bungoma,22/03/2021,March,0,NO,90966,90966,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,17/06/2021,June,0,NO,135889,135889,100,0,NO
Boxer,BM 150,Boxer BM 150,Kisumu,12/01/2021,January,0,NO,92630,92630,100,0,NO
Sonlink,KC 150CC,Sonlink KC 150CC,Mombasa,25/03/2021,March,1,YES,96221,19259,20.01538126,1,YES
Boxer,BM 100,Boxer BM 100,Bungoma,09/01/2021,January,0,NO,72834,72834,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Mombasa,22/01/2021,January,0,NO,39072,39072,100,0,NO
Boxer,BM X150,Boxer BM X150,Mombasa,03/05/2021,May,0,NO,122904,122904,100,0,NO
Sonlink,125-A2,Sonlink 125-A2,Bungoma,04/02/2021,February,0,NO,82136,82136,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,06/01/2021,January,0,NO,96760,96760,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,19/04/2021,April,0,NO,114064,114064,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,29/04/2021,April,0,NO,123103,123103,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,19/06/2021,June,0,NO,111751,111751,100,0,NO
Boxer,BM 150,Boxer BM 150,Bungoma,13/01/2021,January,0,NO,90817,90817,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,30/04/2021,April,1,YES,126475,19048,15.06068393,1,YES
TVS,HLX 100CC,TVS HLX 100CC,Migori,29/04/2021,April,0,NO,108233,108233,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,17/03/2021,March,0,NO,63455,63455,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Migori,28/04/2021,April,0,NO,118789,118789,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Mombasa,26/03/2021,March,0,NO,118005,118005,100,0,NO
Boxer,BM X125,Boxer BM X125,Mombasa,11/05/2021,May,0,NO,114336,114336,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,26/03/2021,March,0,NO,93805,93805,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,26/02/2021,February,0,NO,102028,102028,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,22/01/2021,January,1,YES,116640,49250,42.2239369,1,YES
Boxer,BM 150,Boxer BM 150,Nairobi,04/02/2021,February,1,YES,113579,36060,31.74882681,1,YES
TVS,HLX 100CC,TVS HLX 100CC,Kisumu,02/03/2021,March,0,NO,85060,85060,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,06/05/2021,May,1,YES,110487,14170,12.82503824,1,YES
TVS,LX 100CC KS,TVS LX 100CC KS,Mombasa,15/03/2021,March,0,NO,76568,76568,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,21/01/2021,January,0,NO,96300,96300,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,05/01/2021,January,1,YES,102348,62935,61.49118693,1,YES
Boxer,BM 150,Boxer BM 150,Nairobi,15/04/2021,April,0,NO,128946,128946,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,26/04/2021,April,0,NO,121578,121578,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,12/02/2021,February,0,NO,83904,83904,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,29/03/2021,March,0,NO,71808,71808,100,0,NO
Sonlink,125-A2,Sonlink 125-A2,Bungoma,22/01/2021,January,0,NO,85315,85315,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,25/03/2021,March,0,NO,93068,93068,100,0,NO
TVS,LX 100CC KS,TVS LX 100CC KS,Bungoma,17/05/2021,May,0,NO,104732,104732,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,07/06/2021,June,0,NO,112566,112566,100,0,NO
Boxer,BM 150,Boxer BM 150,Bungoma,20/01/2021,January,0,NO,94995,94995,100,0,NO
Sonlink,KC 150CC,Sonlink KC 150CC,Nairobi,17/02/2021,February,0,NO,85082,85082,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,20/04/2021,April,0,NO,100328,100328,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Kisumu,18/02/2021,February,1,YES,111675,41420,37.08976942,1,YES
Boxer,BM 100,Boxer BM 100,Kisumu,25/05/2021,May,0,NO,107594,107594,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,03/02/2021,February,0,NO,83230,83230,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Mombasa,11/02/2021,February,0,NO,84747,84747,100,0,NO
Boxer,BM 100,Boxer BM 100,Bungoma,15/03/2021,March,0,NO,88409,88409,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Migori,25/03/2021,March,0,NO,95224,95224,100,0,NO
TVS,STAR 100CC KS,TVS STAR 100CC KS,Bungoma,12/02/2021,February,0,NO,92113,92113,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,06/05/2021,May,0,NO,57634,57634,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,26/01/2021,January,1,YES,86658,20332,23.46234623,1,YES
Boxer,BM 150,Boxer BM 150,Nairobi,23/03/2021,March,0,NO,117572,117572,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,13/04/2021,April,0,NO,128682,128682,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,05/05/2021,May,0,NO,108728,108728,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,11/02/2021,February,0,NO,64714,64714,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,13/04/2021,April,0,NO,112828,112828,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Migori,12/04/2021,April,0,NO,97896,97896,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,23/02/2021,February,0,NO,84608,84608,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,22/01/2021,January,0,NO,94345,94345,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,26/05/2021,May,0,NO,105813,105813,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,13/04/2021,April,0,NO,101872,101872,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,06/04/2021,April,0,NO,105715,105715,100,0,NO
Sonlink,150-KD,Sonlink 150-KD,Mombasa,01/04/2021,April,0,NO,91055,91055,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Migori,30/01/2021,January,0,NO,60168,60168,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Migori,23/02/2021,February,0,NO,101280,101280,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,30/01/2021,January,1,YES,127470,62965,49.3959363,1,YES
Boxer,BM 100,Boxer BM 100,Migori,11/06/2021,June,0,NO,110690,110690,100,0,NO
Boxer,BM X125,Boxer BM X125,Nairobi,07/01/2021,January,0,NO,76984,76984,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,09/01/2021,January,0,NO,85770,85770,100,0,NO
Sonlink,150-KB,Sonlink 150-KB,Nairobi,04/06/2021,June,0,NO,33366,33366,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,21/04/2021,April,0,NO,88373,88373,100,0,NO
TVS,HLX 150,TVS HLX 150,Migori,10/06/2021,June,0,NO,134492,134492,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,06/04/2021,April,1,YES,122520,19200,15.67091087,1,YES
Boxer,BM 100,Boxer BM 100,Migori,23/04/2021,April,0,NO,99909,99909,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Bungoma,22/04/2021,April,0,NO,122161,122161,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,20/04/2021,April,0,NO,114641,114641,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Kisumu,16/04/2021,April,0,NO,122628,122628,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,04/01/2021,January,0,NO,67843,67843,100,0,NO
Boxer,BM 100,Boxer BM 100,Bungoma,15/05/2021,May,0,NO,103083,103083,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,29/03/2021,March,0,NO,112831,112831,100,0,NO
Boxer,BM 100 ES,Boxer BM 100 ES,Bungoma,01/02/2021,February,0,NO,96125,96125,100,0,NO
TVS,HLX 150,TVS HLX 150,Mombasa,17/03/2021,March,0,NO,125855,125855,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Mombasa,21/04/2021,April,0,NO,117317,117317,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Bungoma,20/04/2021,April,0,NO,118583,118583,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,08/05/2021,May,0,NO,109041,109041,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,11/01/2021,January,0,NO,87422,87422,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Migori,12/04/2021,April,0,NO,98784,98784,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,29/01/2021,January,0,NO,71559,71559,100,0,NO
Boxer,BM 100,Boxer BM 100,Bungoma,24/03/2021,March,0,NO,99909,99909,100,0,NO
Boxer,BM X125,Boxer BM X125,Mombasa,26/04/2021,April,0,NO,109572,109572,100,0,NO
Sonlink,150-KD,Sonlink 150-KD,Mombasa,24/05/2021,May,0,NO,101288,101288,100,0,NO
Sonlink,125-A1,Sonlink 125-A1,Kisumu,30/03/2021,March,1,YES,58974,22900,38.83067114,1,YES
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,19/01/2021,January,0,NO,85614,85614,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,31/03/2021,March,0,NO,106997,106997,100,0,NO
TVS,HLX 150,TVS HLX 150,Nairobi,05/01/2021,January,0,NO,65116,65116,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,26/02/2021,February,0,NO,78511,78511,100,0,NO
TVS,HLX 150,TVS HLX 150,Nairobi,11/06/2021,June,1,YES,142898,24379,17.06042072,1,YES
Boxer,BM 100,Boxer BM 100,Bungoma,30/04/2021,April,0,NO,106034,106034,100,0,NO
TVS,HLX 150,TVS HLX 150,Mombasa,27/05/2021,May,0,NO,129103,129103,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Migori,16/06/2021,June,0,NO,72460,72460,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,19/04/2021,April,1,YES,125746,17011,13.52806451,1,YES
TVS,HLX 100CC,TVS HLX 100CC,Migori,02/02/2021,February,0,NO,87538,87538,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Kisumu,17/05/2021,May,0,NO,104071,104071,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,10/06/2021,June,0,NO,111200,111200,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,04/05/2021,May,0,NO,116891,116891,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Migori,29/03/2021,March,0,NO,108751,108751,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Bungoma,24/02/2021,February,0,NO,100975,100975,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,08/03/2021,March,0,NO,95426,95426,100,0,NO
Boxer,BM 150,Boxer BM 150,Bungoma,08/02/2021,February,0,NO,47778,47778,100,0,NO
Sonlink,150-KA,Sonlink 150-KA,Nairobi,25/01/2021,January,0,NO,76230,76230,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,24/05/2021,May,0,NO,134105,134105,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,09/06/2021,June,0,NO,119758,119758,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,23/04/2021,April,0,NO,119429,119429,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,22/04/2021,April,1,YES,114699,27025,23.56167011,1,YES
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,18/01/2021,January,0,NO,87812,87812,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,21/05/2021,May,0,NO,109131,109131,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,20/05/2021,May,0,NO,110668,110668,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,30/04/2021,April,0,NO,98687,98687,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Migori,05/02/2021,February,0,NO,92700,92700,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,08/03/2021,March,0,NO,86480,86480,100,0,NO
Boxer,BM 150,Boxer BM 150,Bungoma,02/06/2021,June,0,NO,125879,125879,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,14/01/2021,January,0,NO,76696,76696,100,0,NO
Sonlink,150-M1,Sonlink 150-M1,Nairobi,01/04/2021,April,0,NO,81563,81563,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,09/01/2021,January,0,NO,76166,76166,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Migori,13/04/2021,April,0,NO,115860,115860,100,0,NO
TVS,STAR 100CC KS,TVS STAR 100CC KS,Bungoma,04/03/2021,March,0,NO,92819,92819,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Mombasa,08/04/2021,April,0,NO,108617,108617,100,0,NO
Sonlink,150-M1,Sonlink 150-M1,Nairobi,05/03/2021,March,0,NO,75480,75480,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Migori,11/02/2021,February,0,NO,84596,84596,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,05/05/2021,May,0,NO,119980,119980,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,05/05/2021,May,0,NO,116375,116375,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,04/01/2021,January,0,NO,52053,52053,100,0,NO
Boxer,BM 100,Boxer BM 100,Bungoma,17/05/2021,May,0,NO,98618,98618,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,21/05/2021,May,0,NO,105976,105976,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,28/06/2021,June,0,NO,125481,125481,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,04/01/2021,January,0,NO,91015,91015,100,0,NO
Sonlink,125-A1,Sonlink 125-A1,Bungoma,12/01/2021,January,0,NO,66324,66324,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,19/01/2021,January,0,NO,68168,68168,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,07/04/2021,April,0,NO,95498,95498,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Migori,26/05/2021,May,1,YES,111466,8295,7.441731111,1,YES
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,22/02/2021,February,0,NO,85786,85786,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,06/05/2021,May,0,NO,123083,123083,100,0,NO
Boxer,BM 150,Boxer BM 150,Mombasa,10/05/2021,May,0,NO,124920,124920,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,20/01/2021,January,0,NO,65072,65072,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,14/06/2021,June,0,NO,122747,122747,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Migori,11/03/2021,March,0,NO,42955,42955,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,09/04/2021,April,0,NO,113167,113167,100,0,NO
TVS,HLX 125CC,TVS HLX 125CC,Migori,05/01/2021,January,1,YES,91898,26080,28.37929008,1,YES
TVS,HLX 125CC,TVS HLX 125CC,Bungoma,04/01/2021,January,0,NO,77876,77876,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,14/06/2021,June,0,NO,132161,132161,100,0,NO
Boxer,BM 100,Boxer BM 100,Bungoma,04/01/2021,January,0,NO,83010,83010,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,16/04/2021,April,0,NO,99909,99909,100,0,NO
Sonlink,150-KD,Sonlink 150-KD,Nairobi,06/04/2021,April,0,NO,98352,98352,100,0,NO
Sonlink,150-KD,Sonlink 150-KD,Nairobi,15/03/2021,March,0,NO,92452,92452,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Bungoma,11/05/2021,May,0,NO,76242,76242,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,05/03/2021,March,0,NO,81542,81542,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,06/04/2021,April,0,NO,107792,107792,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,27/03/2021,March,0,NO,109995,109995,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,03/03/2021,March,0,NO,93935,93935,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,14/06/2021,June,0,NO,111136,111136,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,28/05/2021,May,1,YES,137595,18836,13.68945092,1,YES
Boxer,BM 150,Boxer BM 150,Nairobi,26/06/2021,June,0,NO,135942,135942,100,0,NO
Boxer,BM X150,Boxer BM X150,Nairobi,31/05/2021,May,0,NO,15613,15613,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,29/03/2021,March,0,NO,111635,111635,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,04/02/2021,February,0,NO,87823,87823,100,0,NO
Boxer,BM 100,Boxer BM 100,Migori,08/06/2021,June,0,NO,110988,110988,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,31/05/2021,May,0,NO,109048,109048,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,26/03/2021,March,0,NO,93761,93761,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Migori,29/03/2021,March,0,NO,93645,93645,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Kisumu,22/04/2021,April,0,NO,99139,99139,100,0,NO
Sonlink,KC 150CC,Sonlink KC 150CC,Nairobi,12/02/2021,February,1,YES,101791,33969,33.37131966,1,YES
TVS,HLX 150CC,TVS HLX 150CC,Mombasa,05/01/2021,January,0,NO,109926,109926,100,0,NO
Boxer,BM X150,Boxer BM X150,Nairobi,26/04/2021,April,0,NO,123333,123333,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Nairobi,03/05/2021,May,0,NO,90635,90635,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,13/04/2021,April,0,NO,97642,97642,100,0,NO
Sonlink,150-KD,Sonlink 150-KD,Nairobi,06/01/2021,January,0,NO,77125,77125,100,0,NO
Boxer,BM 100,Boxer BM 100,Mombasa,23/04/2021,April,0,NO,84298,84298,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,19/01/2021,January,1,YES,87538,22573,25.78651557,1,YES
Sonlink,125-A1,Sonlink 125-A1,Bungoma,10/05/2021,May,0,NO,67744,67744,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Migori,28/05/2021,May,0,NO,140936,140936,100,0,NO
Boxer,BM 150,Boxer BM 150,Nairobi,29/03/2021,March,0,NO,122149,122149,100,0,NO
TVS,STAR 100CC KS,TVS STAR 100CC KS,Bungoma,11/03/2021,March,0,NO,90855,90855,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,22/02/2021,February,0,NO,87972,87972,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,14/01/2021,January,0,NO,92418,92418,100,0,NO
Boxer,BM 100,Boxer BM 100,Kisumu,03/05/2021,May,0,NO,104922,104922,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Kisumu,25/01/2021,January,0,NO,87507,87507,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Kisumu,25/03/2021,March,0,NO,99832,99832,100,0,NO
TVS,HLX 150CC,TVS HLX 150CC,Nairobi,29/04/2021,April,1,YES,37394,26140,69.90426272,1,YES
Boxer,BM 100,Boxer BM 100,Bungoma,24/03/2021,March,0,NO,96835,96835,100,0,NO
Boxer,BM 150,Boxer BM 150,Migori,12/04/2021,April,0,NO,84755,84755,100,0,NO
TVS,HLX 100CC,TVS HLX 100CC,Bungoma,10/03/2021,March,0,NO,86980,86980,100,0,NO
